Price,Year,Mileage,State,Model
3991,2009,120, FL,Corolla4dr
5814,2015,27442, FL,CorollaLE
8991,2014,15100, FL,CorollaS
12971,2013,26595, FL,Camry
9988,2016,23430, CO,CorollaS
12500,2016,22215, TX,CorollaLE
11485,2015,11231, FL,CorollaL
11495,2016,7578, FL,CorollaL
9994,2014,12643, FL,CorollaL
13794,2017,18403, TX,CorollaLE
10420,2015,31102, FL,CorollaLE
12334,2016,13780, FL,CorollaL
10968,2016,30370, GA,CorollaL
11447,2016,31273, NH,CorollaL
14293,2016,5615, TX,CorollaLE
10999,2015,8036, FL,CorollaL
12495,2017,7296, FL,CorollaSE
13199,2017,16, CO,CamrySE
13991,2015,1372, TX,CorollaL
12900,2016,20999, GA,CorollaLE
13894,2017,21661, TX,CorollaLE
12999,2017,3104, FL,CorollaL
15493,2017,2692, TX,CorollaLE
9900,2013,35214, TX,CorollaL
14202,2016,3111, OH,CorollaLE
10991,2014,10515, FL,CorollaL
14988,2017,260, FL,CorollaLE
14992,2017,10910, TX,CorollaLE
14988,2017,458, FL,CorollaLE
13495,2017,200, CT,CorollaLE
12888,2016,8960, MS,CorollaL
11550,2016,15816, FL,CorollaS
13485,2017,13746, FL,CorollaLE
9998,2016,34910, FL,CorollaLE
13500,2016,11172, FL,CorollaL
14988,2017,1923, FL,CorollaLE
10999,2015,14704, FL,CorollaL
13920,2016,2201, GA,CorollaLE
12903,2016,10517, FL,CorollaLE
12999,2017,8435, GA,CorollaSE
7588,2013,39214, NY,CorollaS
13568,2016,13776, FL,CorollaLE
11485,2015,22832, FL,CorollaL
15214,2017,10270, TX,CorollaLE
10999,2016,25217, FL,CorollaL
13974,2016,12000, GA,CorollaL
10196,2015,26358, FL,CorollaLE
11445,2015,11445, FL,CorollaLE
15285,2017,669, FL,CorollaLE
11985,2016,26276, FL,CorollaL
12988,2017,10535, FL,CorollaSE
11759,2016,23521, FL,CorollaLE
11891,2016,16158, FL,CorollaL
13998,2016,6899, DE,CorollaL
11862,2016,30021, GA,CorollaS
12587,2016,35529, TX,CorollaLE
12399,2016,20340, GA,CorollaLE
14994,2016,8738, TX,CorollaL
8254,2008,58734, MA,Camry
13856,2017,12853, AL,CorollaL
12895,2016,4757, NY,CorollaLE
12698,2016,17007, FL,CorollaLE
10995,2016,27738, FL,CorollaS
10799,2016,30405, UT,CorollaLE
10999,2016,28033, AZ,CorollaLE
13000,2015,9969, NE,CorollaL
14991,2016,8868, TX,CorollaL
13498,2016,16571, VA,CorollaLE
10697,2015,23277, FL,CorollaL
14497,2017,2274, MD,CorollaL
10500,2016,44636, FL,CorollaLE
7990,2012,30130, FL,Corolla4dr
14994,2016,9725, TX,CorollaLE
12664,2016,18144, GA,CorollaL
15395,2017,3797, FL,CorollaSE
10985,2016,40992, FL,CorollaLE
12888,2016,18009, TX,CorollaS
12490,2017,19329, FL,CorollaL
